Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-01-06 20:17:41;2020-12-14;B.1.617.2+S:Q677H;;VUM;;True;203;0
3;2022-01-06 20:17:41;2020-12-14;B.1.640;;VUM;VUM;False;203;0
3;2022-01-06 20:17:41;2020-12-14;B.1.1.7;Alpha;DEV;VOI;False;203;1
3;2022-01-06 20:17:41;2020-12-14;B.1.525;;DEV;VUM;False;203;0
3;2022-01-06 20:17:41;2020-12-14;B.1.617.1;;DEV;VUM;False;203;0
3;2022-01-06 20:17:41;2020-12-14;B.1.526;;DEV;VUM;False;203;0
3;2022-01-06 20:17:41;2020-12-14;B.1.1.519;;DEV;VUM;False;203;0
3;2022-01-06 20:17:41;2020-12-14;B.1.630;;;VUM;False;203;0
3;2022-01-06 20:17:41;2020-12-14;AZ.5;;;VUM;True;203;0
3;2022-01-06 20:17:41;2020-12-21;B.1.351;Beta;VOC;VOC;False;257;1
3;2022-01-06 20:17:41;2020-12-21;P.1;Gamma;VOC;VOC;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.617.2;Delta;VOC;VOC;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.1.529;Omicron;VOC;VOC;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.621;Mu;VOI;VOI;False;257;0
3;2022-01-06 20:17:41;2020-12-21;C.37;Lambda;VOI;VOI;False;257;0
3;2022-01-06 20:17:41;2020-12-21;AY.4.2;;VOI;;True;257;0
3;2022-01-06 20:17:41;2020-12-21;C.36+S:L452R;;VUM;;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.1.318;;VUM;;False;257;0
3;2022-01-06 20:17:41;2020-12-21;P.1+S:P681H;;VUM;;True;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.617.2+S:K417N;;VUM;;True;257;0
3;2022-01-06 20:17:41;2020-12-21;C.1.2;;VUM;VUM;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.617.2+S:E484del;;VUM;;True;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.617.2+S:Q613H;;VUM;;True;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.617.2+S:Q677H;;VUM;;True;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.640;;VUM;VUM;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.1.7;Alpha;DEV;VOI;False;257;5
3;2022-01-06 20:17:41;2020-12-21;B.1.525;;DEV;VUM;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.617.1;;DEV;VUM;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.526;;DEV;VUM;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.1.519;;DEV;VUM;False;257;0
3;2022-01-06 20:17:41;2020-12-21;B.1.630;;;VUM;False;257;0
3;2022-01-06 20:17:41;2020-12-21;AZ.5;;;VUM;True;257;0
3;2022-01-06 20:17:41;2020-12-28;B.1.351;Beta;VOC;VOC;False;207;1
3;2022-01-06 20:17:41;2020-12-28;P.1;Gamma;VOC;VOC;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.617.2;Delta;VOC;VOC;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.1.529;Omicron;VOC;VOC;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.621;Mu;VOI;VOI;False;207;0
3;2022-01-06 20:17:41;2020-12-28;C.37;Lambda;VOI;VOI;False;207;0
3;2022-01-06 20:17:41;2020-12-28;AY.4.2;;VOI;;True;207;0
3;2022-01-06 20:17:41;2020-12-28;C.36+S:L452R;;VUM;;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.1.318;;VUM;;False;207;0
3;2022-01-06 20:17:41;2020-12-28;P.1+S:P681H;;VUM;;True;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.617.2+S:K417N;;VUM;;True;207;0
3;2022-01-06 20:17:41;2020-12-28;C.1.2;;VUM;VUM;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.617.2+S:E484del;;VUM;;True;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.617.2+S:Q613H;;VUM;;True;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.617.2+S:Q677H;;VUM;;True;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.640;;VUM;VUM;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.1.7;Alpha;DEV;VOI;False;207;9
3;2022-01-06 20:17:41;2020-12-28;B.1.525;;DEV;VUM;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.617.1;;DEV;VUM;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.526;;DEV;VUM;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.1.519;;DEV;VUM;False;207;0
3;2022-01-06 20:17:41;2020-12-28;B.1.630;;;VUM;False;207;0
3;2022-01-06 20:17:41;2020-12-28;AZ.5;;;VUM;True;207;0
3;2022-01-06 20:17:41;2021-01-04;B.1.351;Beta;VOC;VOC;False;356;0
3;2022-01-06 20:17:41;2021-01-04;P.1;Gamma;VOC;VOC;False;356;0
3;2022-01-06 20:17:41;2021-01-04;B.1.617.2;Delta;VOC;VOC;False;356;0
3;2022-01-06 20:17:41;2021-01-04;B.1.1.529;Omicron;VOC;VOC;False;356;0
3;2022-01-06 20:17:41;2021-01-04;B.1.621;Mu;VOI;VOI;False;356;0
3;2022-01-06 20:17:41;2021-01-04;C.37;Lambda;VOI;VOI;False;356;0
3;2022-01-06 20:17:41;2021-01-04;AY.4.2;;VOI;;True;356;0
3;2022-01-06 20:17:41;2021-01-04;C.36+S:L452R;;VUM;;False;356;0
3;2022-01-06 20:17:41;2021-01-04;B.1.1.318;;VUM;;False;356;0
3;2022-01-06 20:17:41;2021-01-04;P.1+S:P681H;;VUM;;True;356;0
3;2022-01-06 20:17:41;2021-01-04;B.1.617.2+S:K417N;;VUM;;True;356;0
